slug,title,description,host_type,host_slug,venue_name,venue_address_line1,venue_address_line2,venue_city,venue_region,venue_postal_code,venue_country,venue_lat,venue_lng,venue_external_place_id,venue_timezone,cadence,dtstart_local,duration_minutes,rrule,rrule_until,tags,rsvp_mode,visibility,status,source_url,source_type,external_host_name,verification_source_url,verified_date,sponsors
lido-saturday,Lido Saturday,Coffee and cars in the lot.,,,Lido Marina Village,3636 Newport Blvd,,Newport Beach,CA,92663,US,33.6172,-117.9270,,America/Los_Angeles,weekly,2026-10-24 07:30,120,FREQ=WEEKLY;BYDAY=SA,,all,open,public,published,https://example.com/lido-saturday,manual,,https://www.instagram.com/p/example/,2026-09-05,
lido-sunday,Lido Sunday,Coffee and cars in the lot.,,,Lido Marina Village,3636 Newport Blvd,,Newport Beach,CA,92663,US,33.6172,-117.9270,,America/Los_Angeles,weekly,2026-10-25 08:00,120,FREQ=WEEKLY;BYDAY=SU,,all,open,public,published,https://example.com/lido-sunday,manual,,https://www.instagram.com/p/example/,2026-09-05,
lido-second-lot,Lido second lot,Coffee and cars in the lot.,,,Lido  Marina Village,3636 Newport Blvd,,Newport Beach,CA,92663,US,33.61725,-117.92705,,America/Los_Angeles,weekly,2026-10-24 07:30,120,FREQ=WEEKLY;BYDAY=SA,,all,open,public,published,https://example.com/lido-second-lot,manual,,https://www.instagram.com/p/example/,2026-09-05,
corona-del-mar-coffee,Corona del Mar coffee,Coffee and cars in the lot.,,,Port Theater lot,2905 E Coast Hwy,,Corona del Mar,CA,92625,US,33.5998,-117.8730,,America/Los_Angeles,weekly,2026-10-24 07:30,120,FREQ=WEEKLY;BYDAY=SA,,all,open,public,published,https://example.com/corona-del-mar-coffee,manual,,https://www.instagram.com/p/example/,2026-09-05,
huntington-pier-meet,Huntington pier meet,Coffee and cars in the lot.,,,Pier Plaza,315 Pacific Coast Hwy,,Huntington Beach,CA,92648,US,33.6553,-118.0035,,America/Los_Angeles,weekly,2026-10-24 07:30,120,FREQ=WEEKLY;BYDAY=SA,,all,open,public,published,https://example.com/huntington-pier-meet,manual,,https://www.instagram.com/p/example/,2026-09-05,
newport-monthly,Newport monthly,Coffee and cars in the lot.,,,Lido Marina Village,3636 Newport Blvd,,Newport Beach,CA,92663,US,33.6172,-117.9270,,America/Los_Angeles,monthly,2026-11-01 08:00,120,FREQ=MONTHLY;BYDAY=1SU,,all,open,public,published,https://example.com/newport-monthly,manual,,https://www.instagram.com/p/example/,2026-09-05,
fontana-saturday,Fontana Saturday,Coffee and cars in the lot.,,,Sierra at Foothill,17150 Foothill Blvd,,Fontana,CA,92335,US,34.1065,-117.4356,,America/Los_Angeles,weekly,2026-10-24 07:30,120,FREQ=WEEKLY;BYDAY=SA,,all,open,public,published,https://example.com/fontana-saturday,manual,,https://www.instagram.com/p/example/,2026-09-05,
fontana-sunday,Fontana Sunday,Coffee and cars in the lot.,,,Sierra at Foothill,17150 Foothill Blvd,,Fontana,CA,92335,US,34.1065,-117.4356,,America/Los_Angeles,weekly,2026-10-25 07:30,120,FREQ=WEEKLY;BYDAY=SU,,all,open,public,published,https://example.com/fontana-sunday,manual,,https://www.instagram.com/p/example/,2026-09-05,
rancho-cucamonga-meet,Rancho Cucamonga meet,Coffee and cars in the lot.,,,Victoria Gardens,12505 N Main St,,Rancho Cucamonga,CA,91739,US,34.1064,-117.5931,,America/Los_Angeles,weekly,2026-10-24 07:30,120,FREQ=WEEKLY;BYDAY=SA,,all,open,public,published,https://example.com/rancho-cucamonga-meet,manual,,https://www.instagram.com/p/example/,2026-09-05,
riverside-monthly,Riverside monthly,Coffee and cars in the lot.,,,Riverside Auto Center,3230 W Motor Circle Dr,,Riverside,CA,92504,US,33.9533,-117.3962,,America/Los_Angeles,monthly,2026-11-15 08:00,120,FREQ=MONTHLY;BYDAY=3SU,,all,open,public,published,https://example.com/riverside-monthly,manual,,https://www.instagram.com/p/example/,2026-09-05,
inland-no-date,Inland missing date,Coffee and cars in the lot.,,,Sierra at Foothill,17150 Foothill Blvd,,Fontana,CA,92335,US,34.1065,-117.4356,,America/Los_Angeles,weekly,2026-10-24 07:30,120,FREQ=WEEKLY;BYDAY=SA,,all,open,public,published,https://example.com/inland-no-date,manual,,https://www.instagram.com/p/example/,2026-09-05,
inland-unknown-host,Inland unknown host,Coffee and cars in the lot.,club,back-bay-air-cooled,Victoria Gardens,12505 N Main St,,Rancho Cucamonga,CA,91739,US,34.1064,-117.5931,,America/Los_Angeles,weekly,2026-10-24 07:30,120,FREQ=WEEKLY;BYDAY=SA,,all,open,public,published,https://example.com/inland-unknown-host,manual,,https://www.instagram.com/p/example/,2026-09-05,bear-coast:coffee|apex-detail:partner
